atr,high_lb,top_n,rebal,vol_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
14,30,2,14,0.5000,long,0.2500,1.0747,0.3143,-0.3856,0.8151,4496
10,80,2,14,0.7000,long,0.2500,1.0746,0.4267,-0.4838,0.8818,4363
10,80,3,7,0.7000,long,0.0000,1.0743,0.8412,-0.7242,1.1615,353
20,50,2,7,0.5000,long,0.2500,1.0740,0.3198,-0.4665,0.6855,4502
14,30,3,14,0.7000,long,0.0000,1.0735,0.6520,-0.6968,0.9358,219
10,50,3,3,0.5000,long,0.2500,1.0723,0.3113,-0.4363,0.7136,6877
10,80,3,14,0.5000,long,0.0000,1.0719,0.6401,-0.7320,0.8744,197
10,80,2,7,0.7000,long,0.2500,1.0709,0.3617,-0.4962,0.7289,4422
20,30,2,14,0.5000,long,0.2500,1.0709,0.3158,-0.3982,0.7931,4493
14,80,2,3,0.3000,long,0.2500,1.0700,0.3077,-0.5088,0.6047,4581
20,80,3,14,0.5000,long,0.0000,1.0686,0.6492,-0.7420,0.8749,207
20,30,1,14,0.5000,long,0.2500,1.0670,0.3140,-0.4263,0.7367,2264
20,30,2,7,0.5000,long,0.0000,1.0653,0.6747,-0.7226,0.9337,352
20,30,2,14,0.5000,long,0.0000,1.0648,0.6698,-0.6559,1.0213,204
20,50,3,7,0.5000,long,0.0000,1.0640,0.6476,-0.7597,0.8524,371
14,50,3,14,0.7000,long,0.0000,1.0638,0.6384,-0.6851,0.9318,213
20,50,2,3,0.7000,long,0.0000,1.0627,0.6038,-0.7625,0.7919,344
20,50,2,14,0.5000,long,0.0000,1.0622,0.6568,-0.7344,0.8943,182
14,50,3,7,0.5000,long,0.2500,1.0605,0.3095,-0.4429,0.6988,6704
10,50,2,14,0.7000,long,0.0000,1.0593,1.0536,-0.7560,1.3936,180
10,50,2,3,0.5000,long,0.0000,1.0593,0.6070,-0.7741,0.7841,562
20,80,2,3,0.7000,long,0.2500,1.0580,0.3029,-0.4401,0.6882,4459
14,80,3,14,0.5000,long,0.2500,1.0575,0.3434,-0.4451,0.7715,6527
14,50,2,7,0.3000,long,0.2500,1.0574,0.3125,-0.5219,0.5987,4554
20,30,3,7,0.7000,long,0.0000,1.0574,0.6254,-0.6986,0.8952,309
20,50,3,14,0.7000,long,0.0000,1.0558,0.6213,-0.7041,0.8825,171
14,30,2,3,0.3000,long,0.2500,1.0552,0.3059,-0.4265,0.7172,4830
20,50,1,7,0.3000,long,0.0000,1.0551,0.7220,-0.7754,0.9311,273
14,30,3,7,0.5000,long,0.2500,1.0542,0.3000,-0.4192,0.7155,6806
10,80,1,14,0.7000,long,0.0000,1.0531,0.5821,-0.7558,0.7701,125
20,50,1,3,0.5000,long,0.0000,1.0518,0.6532,-0.7876,0.8293,405
14,50,1,7,0.7000,long,0.0000,1.0516,0.5976,-0.7666,0.7796,203
20,30,3,7,0.5000,long,0.2500,1.0507,0.3002,-0.3789,0.7922,6801
14,30,1,7,0.5000,long,0.0000,1.0500,0.6714,-0.7484,0.8972,265
10,30,2,14,0.5000,long,0.2500,1.0475,0.2995,-0.3867,0.7747,4496
14,50,1,14,0.5000,long,0.0000,1.0474,0.6676,-0.7313,0.9129,131
20,50,3,7,0.7000,long,0.0000,1.0471,0.6119,-0.7023,0.8713,283
20,30,1,14,0.3000,long,0.0000,1.0469,0.7253,-0.7843,0.9248,203
14,50,3,14,0.3000,long,0.0000,1.0469,0.6297,-0.7888,0.7983,301
10,80,1,14,0.5000,long,0.2500,1.0463,0.3192,-0.4798,0.6653,2197
14,80,1,14,0.5000,long,0.0000,1.0461,0.6508,-0.7031,0.9257,115
