atr,vol_lb,metric,top_n,rebal,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
10,20,realized,3,3,long,0.0000,0.9782,0.5358,-0.7152,0.7492,489
20,20,realized,3,3,long,0.0000,0.9782,0.5358,-0.7152,0.7492,489
14,20,realized,3,3,long,0.0000,0.9782,0.5358,-0.7152,0.7492,489
20,10,natr,1,7,long,0.0000,0.9773,0.5227,-0.7566,0.6908,121
20,40,natr,1,7,long,0.0000,0.9773,0.5227,-0.7566,0.6908,121
20,20,natr,1,7,long,0.0000,0.9773,0.5227,-0.7566,0.6908,121
20,20,natr,3,7,long,0.0000,0.9773,0.5335,-0.7075,0.7541,239
20,40,natr,3,7,long,0.0000,0.9773,0.5335,-0.7075,0.7541,239
20,10,natr,3,7,long,0.0000,0.9773,0.5335,-0.7075,0.7541,239
14,40,natr,3,7,long,0.0000,0.9711,0.5257,-0.7343,0.7160,301
14,10,natr,3,7,long,0.0000,0.9711,0.5257,-0.7343,0.7160,301
14,20,natr,3,7,long,0.0000,0.9711,0.5257,-0.7343,0.7160,301
20,10,natr,1,7,long,0.2500,0.9639,0.2759,-0.4461,0.6185,2270
20,20,natr,1,7,long,0.2500,0.9639,0.2759,-0.4461,0.6185,2270
20,40,natr,1,7,long,0.2500,0.9639,0.2759,-0.4461,0.6185,2270
10,40,realized,3,14,long,0.2500,0.9454,0.2766,-0.4243,0.6519,6631
14,40,realized,3,14,long,0.2500,0.9454,0.2766,-0.4243,0.6519,6631
20,40,realized,3,14,long,0.2500,0.9454,0.2766,-0.4243,0.6519,6631
14,40,natr,2,3,long,0.1500,0.9418,0.1622,-0.2869,0.5652,4581
14,20,natr,2,3,long,0.1500,0.9418,0.1622,-0.2869,0.5652,4581
14,10,natr,2,3,long,0.1500,0.9418,0.1622,-0.2869,0.5652,4581
20,20,realized,2,7,long,0.1500,0.9320,0.2100,-0.2927,0.7174,4554
14,20,realized,2,7,long,0.1500,0.9320,0.2100,-0.2927,0.7174,4554
10,20,realized,2,7,long,0.1500,0.9320,0.2100,-0.2927,0.7174,4554
20,10,natr,1,3,long,0.0000,0.9288,0.4693,-0.7176,0.6540,171
20,20,natr,1,3,long,0.0000,0.9288,0.4693,-0.7176,0.6540,171
20,40,natr,1,3,long,0.0000,0.9288,0.4693,-0.7176,0.6540,171
14,20,realized,2,7,long,0.2500,0.9157,0.3297,-0.4491,0.7340,4552
10,20,realized,2,7,long,0.2500,0.9157,0.3297,-0.4491,0.7340,4552
20,20,realized,2,7,long,0.2500,0.9157,0.3297,-0.4491,0.7340,4552
14,40,natr,3,7,long,0.2500,0.9141,0.2503,-0.4618,0.5420,6791
14,20,natr,3,7,long,0.2500,0.9141,0.2503,-0.4618,0.5420,6791
14,10,natr,3,7,long,0.2500,0.9141,0.2503,-0.4618,0.5420,6791
10,20,natr,3,3,long,0.2500,0.9097,0.2818,-0.4198,0.6712,6921
10,10,natr,3,3,long,0.2500,0.9097,0.2818,-0.4198,0.6712,6921
10,40,natr,3,3,long,0.2500,0.9097,0.2818,-0.4198,0.6712,6921
10,10,natr,3,7,long,0.0000,0.9071,0.5945,-0.7106,0.8366,367
10,20,natr,3,7,long,0.0000,0.9071,0.5945,-0.7106,0.8366,367
10,40,natr,3,7,long,0.0000,0.9071,0.5945,-0.7106,0.8366,367
14,10,natr,3,7,long,0.1500,0.9012,0.1538,-0.3023,0.5089,6797
14,20,natr,3,7,long,0.1500,0.9012,0.1538,-0.3023,0.5089,6797
14,40,natr,3,7,long,0.1500,0.9012,0.1538,-0.3023,0.5089,6797
10,10,realized,3,3,long,0.0000,0.9007,0.5857,-0.7904,0.7410,897
20,10,realized,3,3,long,0.0000,0.9007,0.5857,-0.7904,0.7410,897
14,10,realized,3,3,long,0.0000,0.9007,0.5857,-0.7904,0.7410,897
10,20,realized,3,7,long,0.0000,0.8999,0.5881,-0.7630,0.7707,327
20,20,realized,3,7,long,0.0000,0.8999,0.5881,-0.7630,0.7707,327
14,20,realized,3,7,long,0.0000,0.8999,0.5881,-0.7630,0.7707,327
14,10,realized,3,7,long,0.0000,0.8935,0.5758,-0.7589,0.7587,601
10,10,realized,3,7,long,0.0000,0.8935,0.5758,-0.7589,0.7587,601
20,10,realized,3,7,long,0.0000,0.8935,0.5758,-0.7589,0.7587,601
14,40,realized,3,14,long,0.1500,0.8933,0.1622,-0.2747,0.5905,6631
20,40,realized,3,14,long,0.1500,0.8933,0.1622,-0.2747,0.5905,6631
10,40,realized,3,14,long,0.1500,0.8933,0.1622,-0.2747,0.5905,6631
10,10,natr,3,3,long,0.1500,0.8904,0.1713,-0.2722,0.6293,6924
10,40,natr,3,3,long,0.1500,0.8904,0.1713,-0.2722,0.6293,6924
10,20,natr,3,3,long,0.1500,0.8904,0.1713,-0.2722,0.6293,6924
14,10,natr,1,14,long,0.1500,0.8848,0.1561,-0.2957,0.5279,2268
14,20,natr,1,14,long,0.1500,0.8848,0.1561,-0.2957,0.5279,2268
14,40,natr,1,14,long,0.1500,0.8848,0.1561,-0.2957,0.5279,2268
10,10,natr,3,7,long,0.2500,0.8847,0.2583,-0.4158,0.6212,6824
10,20,natr,3,7,long,0.2500,0.8847,0.2583,-0.4158,0.6212,6824
10,40,natr,3,7,long,0.2500,0.8847,0.2583,-0.4158,0.6212,6824
10,40,natr,3,7,long,0.1500,0.8735,0.1597,-0.2695,0.5927,6830
10,20,natr,3,7,long,0.1500,0.8735,0.1597,-0.2695,0.5927,6830
10,10,natr,3,7,long,0.1500,0.8735,0.1597,-0.2695,0.5927,6830
20,40,natr,1,3,long,0.1500,0.8718,0.1563,-0.2651,0.5894,2294
20,20,natr,1,3,long,0.1500,0.8718,0.1563,-0.2651,0.5894,2294
20,10,natr,1,3,long,0.1500,0.8718,0.1563,-0.2651,0.5894,2294
20,40,realized,2,14,long,0.2500,0.8650,0.2356,-0.3700,0.6367,4421
14,40,realized,2,14,long,0.2500,0.8650,0.2356,-0.3700,0.6367,4421
10,40,realized,2,14,long,0.2500,0.8650,0.2356,-0.3700,0.6367,4421
14,40,natr,1,14,long,0.2500,0.8644,0.2386,-0.4489,0.5316,2268
14,20,natr,1,14,long,0.2500,0.8644,0.2386,-0.4489,0.5316,2268
14,10,natr,1,14,long,0.2500,0.8644,0.2386,-0.4489,0.5316,2268
10,40,natr,2,7,long,0.2500,0.8637,0.2870,-0.4890,0.5868,4570
10,20,natr,2,7,long,0.2500,0.8637,0.2870,-0.4890,0.5868,4570
10,10,natr,2,7,long,0.2500,0.8637,0.2870,-0.4890,0.5868,4570
14,20,realized,1,14,long,0.1500,0.8613,0.1808,-0.2853,0.6337,2284
20,20,realized,1,14,long,0.1500,0.8613,0.1808,-0.2853,0.6337,2284
10,20,realized,1,14,long,0.1500,0.8613,0.1808,-0.2853,0.6337,2284
10,10,natr,3,3,long,0.0000,0.8522,0.5233,-0.7223,0.7245,525
10,20,natr,3,3,long,0.0000,0.8522,0.5233,-0.7223,0.7245,525
10,40,natr,3,3,long,0.0000,0.8522,0.5233,-0.7223,0.7245,525
20,20,natr,1,3,long,0.2500,0.8512,0.2331,-0.4098,0.5688,2294
20,10,natr,1,3,long,0.2500,0.8512,0.2331,-0.4098,0.5688,2294
20,40,natr,1,3,long,0.2500,0.8512,0.2331,-0.4098,0.5688,2294
10,40,natr,2,7,long,0.1500,0.8511,0.1769,-0.3238,0.5464,4574
10,20,natr,2,7,long,0.1500,0.8511,0.1769,-0.3238,0.5464,4574
10,10,natr,2,7,long,0.1500,0.8511,0.1769,-0.3238,0.5464,4574
10,10,natr,2,7,long,0.0000,0.8479,0.6558,-0.7754,0.8457,286
10,20,natr,2,7,long,0.0000,0.8479,0.6558,-0.7754,0.8457,286
