mom_lb,vol_s,vol_l,top_n,rebal,mom_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
20,10,20,1,3,0.5000,long,0.0000,1.2679,1.4136,-0.9005,1.5699,510
5,3,20,2,7,0.7000,long,0.2500,1.2678,0.4410,-0.3383,1.3034,3613
20,3,40,1,7,0.3000,long,0.2500,1.2673,0.4955,-0.3760,1.3176,1925
20,10,40,3,7,0.3000,long,0.0000,1.2665,0.9893,-0.7842,1.2616,681
5,5,20,1,3,0.3000,long,0.2500,1.2644,0.4758,-0.3225,1.4754,2188
20,10,40,1,7,0.3000,long,0.2500,1.2643,0.5124,-0.3943,1.2996,1908
20,10,20,3,7,0.3000,long,0.0000,1.2635,0.9701,-0.7284,1.3319,758
5,10,40,2,7,0.3000,long,0.2500,1.2626,0.4537,-0.3320,1.3663,3578
5,3,40,3,7,0.7000,long,0.2500,1.2612,0.4376,-0.3298,1.3268,5087
5,3,40,3,3,0.5000,long,0.0000,1.2612,0.9932,-0.8531,1.1642,1874
10,5,40,3,3,0.5000,long,0.0000,1.2601,0.9994,-0.7760,1.2880,1387
5,3,40,1,7,0.5000,long,0.0000,1.2600,1.2218,-0.6876,1.7769,426
10,10,40,3,3,0.3000,long,0.0000,1.2597,0.9770,-0.8096,1.2068,1350
20,10,20,3,7,0.7000,long,0.2500,1.2595,0.4903,-0.3884,1.2626,4996
20,3,20,1,3,0.5000,long,0.0000,1.2587,1.3814,-0.8934,1.5461,652
5,5,40,2,14,0.7000,long,0.0000,1.2586,1.0084,-0.7577,1.3309,378
5,3,40,2,7,0.3000,long,0.2500,1.2585,0.4444,-0.3507,1.2671,3610
5,5,20,2,7,0.7000,long,0.2500,1.2569,0.4378,-0.3427,1.2776,3611
5,3,20,3,14,0.7000,long,0.0000,1.2568,0.9600,-0.7855,1.2222,511
10,5,40,2,3,0.7000,long,0.0000,1.2562,1.0829,-0.7775,1.3928,1032
10,5,20,2,3,0.7000,long,0.0000,1.2559,1.0882,-0.7682,1.4166,1050
5,5,20,1,7,0.5000,long,0.0000,1.2556,1.2066,-0.6831,1.7664,436
20,10,40,3,7,0.7000,long,0.0000,1.2553,0.9755,-0.8382,1.1638,650
10,3,20,2,3,0.5000,long,0.0000,1.2546,1.0802,-0.7750,1.3938,1157
5,5,40,1,7,0.7000,long,0.2500,1.2542,0.4622,-0.3591,1.2869,1954
20,3,40,2,14,0.5000,long,0.0000,1.2539,0.9850,-0.7861,1.2531,348
5,10,40,1,7,0.5000,long,0.2500,1.2532,0.4679,-0.3357,1.3935,1937
20,10,20,3,7,0.3000,long,0.2500,1.2531,0.4787,-0.3880,1.2339,5057
5,5,40,2,7,0.3000,long,0.2500,1.2530,0.4493,-0.3614,1.2433,3600
20,5,40,3,3,0.5000,long,0.0000,1.2522,0.9828,-0.8875,1.1074,1143
10,5,40,3,7,0.3000,long,0.0000,1.2521,1.0150,-0.7776,1.3053,860
10,10,40,3,3,0.5000,long,0.0000,1.2513,0.9872,-0.7897,1.2501,1371
10,3,20,2,3,0.7000,long,0.0000,1.2511,1.0792,-0.8044,1.3417,1088
5,10,20,1,3,0.3000,long,0.2500,1.2505,0.4490,-0.4224,1.0628,2179
5,5,40,1,3,0.3000,long,0.2500,1.2500,0.4693,-0.3919,1.1973,2180
10,5,20,2,14,0.5000,long,0.0000,1.2499,1.0277,-0.7952,1.2923,389
20,5,20,1,3,0.3000,long,0.0000,1.2480,1.2848,-0.8941,1.4370,622
20,5,20,3,3,0.3000,long,0.0000,1.2471,0.9761,-0.8808,1.1082,1312
5,3,40,1,7,0.7000,long,0.0000,1.2463,1.1832,-0.6944,1.7039,426
20,5,40,3,14,0.7000,long,0.0000,1.2446,0.9445,-0.8190,1.1532,449
5,3,40,1,7,0.5000,long,0.2500,1.2438,0.4595,-0.3658,1.2563,1956
5,10,20,1,3,0.7000,long,0.2500,1.2430,0.4839,-0.3833,1.2624,2205
5,10,40,2,3,0.3000,long,0.2500,1.2428,0.4379,-0.3720,1.1770,3984
5,10,40,3,3,0.3000,long,0.0000,1.2426,0.9526,-0.8372,1.1378,1767
20,10,40,2,7,0.7000,long,0.0000,1.2420,1.0386,-0.8376,1.2401,476
10,3,20,3,3,0.7000,long,0.0000,1.2410,0.9733,-0.7975,1.2204,1464
10,10,20,3,3,0.3000,long,0.0000,1.2407,0.9498,-0.7976,1.1908,1408
10,3,40,2,3,0.3000,long,0.0000,1.2402,1.0424,-0.8395,1.2417,1131
5,10,40,2,14,0.7000,long,0.0000,1.2397,0.9953,-0.7780,1.2792,372
20,3,40,2,3,0.7000,long,0.0000,1.2395,1.0529,-0.9007,1.1690,826
5,5,40,1,7,0.7000,long,0.0000,1.2378,1.1684,-0.6874,1.6997,422
10,3,40,3,7,0.3000,long,0.0000,1.2369,0.9797,-0.8280,1.1831,874
5,3,20,3,3,0.7000,long,0.0000,1.2355,0.9528,-0.8443,1.1285,1885
20,3,40,1,3,0.7000,long,0.0000,1.2354,1.2982,-0.9311,1.3942,486
10,10,40,2,3,0.5000,long,0.0000,1.2354,1.0483,-0.8035,1.3046,995
5,10,20,2,7,0.7000,long,0.2500,1.2345,0.4326,-0.3534,1.2243,3604
20,3,40,2,7,0.5000,long,0.0000,1.2336,0.9892,-0.8137,1.2156,533
5,10,40,3,3,0.5000,long,0.2500,1.2329,0.4144,-0.3740,1.1080,5578
5,5,40,3,7,0.7000,long,0.2500,1.2321,0.4224,-0.3279,1.2884,5086
5,10,40,1,3,0.5000,long,0.2500,1.2319,0.4657,-0.3306,1.4084,2209
5,3,40,3,3,0.3000,long,0.0000,1.2313,0.9424,-0.8535,1.1042,1857
5,5,20,1,7,0.7000,long,0.2500,1.2310,0.4497,-0.3833,1.1732,1960
20,3,40,3,7,0.5000,long,0.2500,1.2310,0.4870,-0.3987,1.2215,5016
5,5,20,3,3,0.7000,long,0.0000,1.2301,0.9420,-0.8228,1.1448,1887
20,10,20,1,3,0.7000,long,0.0000,1.2301,1.2803,-0.9288,1.3785,510
10,3,40,1,3,0.7000,long,0.0000,1.2297,1.3068,-0.8656,1.5097,606
5,5,40,1,7,0.5000,long,0.2500,1.2292,0.4497,-0.3709,1.2127,1948
10,3,40,3,14,0.3000,long,0.0000,1.2282,0.9318,-0.7822,1.1913,481
5,10,40,3,3,0.3000,long,0.2500,1.2278,0.4125,-0.3773,1.0933,5575
10,5,40,1,3,0.7000,long,0.0000,1.2278,1.3013,-0.8710,1.4940,594
10,5,40,3,3,0.3000,long,0.0000,1.2278,0.9357,-0.8148,1.1484,1406
5,5,20,1,7,0.5000,long,0.2500,1.2274,0.4221,-0.3928,1.0744,1961
5,3,20,1,7,0.3000,long,0.0000,1.2257,1.1905,-0.6380,1.8658,430
20,5,40,3,7,0.5000,long,0.2500,1.2249,0.4823,-0.4025,1.1983,5016
20,10,20,3,7,0.5000,long,0.2500,1.2247,0.4678,-0.3961,1.1812,5035
20,10,40,3,7,0.3000,long,0.2500,1.2247,0.4663,-0.3913,1.1918,5014
10,5,20,2,3,0.5000,long,0.0000,1.2226,1.0283,-0.8066,1.2748,1060
5,10,20,2,14,0.7000,long,0.0000,1.2226,0.9720,-0.7622,1.2753,383
5,5,20,2,3,0.3000,long,0.0000,1.2220,0.9922,-0.8295,1.1962,1376
20,10,40,3,3,0.7000,long,0.0000,1.2216,0.9451,-0.9014,1.0486,1033
5,3,20,2,3,0.5000,long,0.0000,1.2216,1.0150,-0.8492,1.1952,1464
5,3,40,2,14,0.7000,long,0.0000,1.2204,0.9389,-0.7724,1.2156,379
5,5,40,3,3,0.3000,long,0.0000,1.2192,0.9218,-0.8262,1.1157,1758
20,10,20,3,3,0.7000,long,0.0000,1.2186,0.9357,-0.8977,1.0424,1064
5,3,40,1,3,0.5000,long,0.2500,1.2183,0.4616,-0.3352,1.3770,2215
20,5,40,3,3,0.3000,long,0.0000,1.2171,0.9293,-0.8742,1.0631,1184
5,3,40,1,7,0.3000,long,0.2500,1.2169,0.4225,-0.3678,1.1488,1951
20,3,20,2,7,0.5000,long,0.2500,1.2169,0.4616,-0.3780,1.2214,3588
10,10,20,3,14,0.3000,long,0.0000,1.2167,0.9333,-0.8410,1.1098,529
5,5,40,3,3,0.7000,long,0.0000,1.2140,0.9211,-0.8506,1.0830,1855
5,10,40,2,3,0.7000,long,0.0000,1.2118,1.0006,-0.8222,1.2170,1409
5,10,40,1,14,0.3000,long,0.2500,1.2116,0.5208,-0.4742,1.0983,1813
10,3,40,1,3,0.3000,long,0.0000,1.2113,1.2297,-0.7711,1.5948,674
20,10,40,3,3,0.5000,long,0.0000,1.2103,0.9213,-0.8889,1.0365,1059
20,5,40,3,14,0.5000,long,0.0000,1.2099,0.8963,-0.7889,1.1362,461
10,5,40,2,7,0.3000,long,0.0000,1.2099,1.0014,-0.7970,1.2564,641
20,5,20,3,3,0.7000,long,0.0000,1.2081,0.9151,-0.9034,1.0130,1116
20,5,40,1,7,0.3000,long,0.2500,1.2080,0.4827,-0.3840,1.2570,1925
20,3,40,3,7,0.7000,long,0.2500,1.2069,0.4561,-0.3850,1.1847,4998
10,3,40,3,7,0.5000,long,0.0000,1.2068,0.9371,-0.8010,1.1699,869
5,5,40,1,7,0.5000,long,0.0000,1.2059,1.0982,-0.7024,1.5635,410
5,5,20,3,3,0.5000,long,0.0000,1.2052,0.9056,-0.8477,1.0682,1861
5,10,40,1,7,0.7000,long,0.0000,1.2052,1.0940,-0.6314,1.7327,422
10,5,20,3,7,0.5000,long,0.0000,1.2044,0.9235,-0.8307,1.1116,894
20,10,20,3,3,0.5000,long,0.0000,1.2029,0.9022,-0.8817,1.0232,1161
20,5,20,3,14,0.5000,long,0.0000,1.2028,0.8660,-0.8386,1.0327,484
20,5,40,2,7,0.5000,long,0.2500,1.2028,0.4637,-0.4195,1.1053,3552
